ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,gloss_in_source
DANISH-1-1,,DANISH,1,yEy,yEy,j a j,,1743,,false,^ y E y $,default,I
DANISH-2-1,,DANISH,2,du,du,d u,,1743,,false,^ d u $,default,you
DANISH-3-1,,DANISH,3,vi,vi,v i,,1743,,false,^ v i $,default,we
DANISH-11-1,,DANISH,11,e7n,e7n,e ʔ n,,1743,,false,^ e 7 n $,default,one
DANISH-12-1,,DANISH,12,to7,to7,t o ʔ,,1743,,false,^ t o 7 $,default,two
DANISH-18-1,,DANISH,18,mEnsk3,mEnsk3,m a n s k ə,,1743,,false,^ m E n s k 3 $,default,person
DANISH-19-1,,DANISH,19,fesk,fesk,f e s k,,1743,,false,^ f e s k $,default,fish
DANISH-21-1,,DANISH,21,hun7,hun7,h u n ʔ,,1743,,false,^ h u n 7 $,default,dog
DANISH-22-1,,DANISH,22,lus,lus,l u s,,1743,,false,^ l u s $,default,louse
DANISH-23-1,,DANISH,23,trE7,trE7,t r a ʔ,,1743,,false,^ t r E 7 $,default,tree
DANISH-25-1,,DANISH,25,blE8,blE8,b l a θ,,1743,,false,^ b l E 8 $,default,leaf
DANISH-28-1,,DANISH,28,hu87,hu87,h u θ ʔ,,1743,,false,^ h u 8 7 $,default,skin
DANISH-30-1,,DANISH,30,blo87,blo87,b l o θ ʔ,,1743,,false,^ b l o 8 7 $,default,blood
DANISH-31-1,,DANISH,31,ben,ben,b e n,,1743,,false,^ b e n $,default,bone
DANISH-34-1,,DANISH,34,ho7an,ho7an,h o ʔ ɐ n,,1743,,false,^ h o 7 a n $,default,horn
DANISH-39-1,,DANISH,39,ea,ea,e ɐ,,1743,,false,^ e a $,default,ear
DANISH-40-1,,DANISH,40,ay3,ay3,ɐ j ə,,1743,,false,^ a y 3 $,default,eye
DANISH-41-1,,DANISH,41,nEs3,nEs3,n a s ə,,1743,,false,^ n E s 3 $,default,nose
DANISH-43-1,,DANISH,43,tEn7,tEn7,t a n ʔ,,1743,,false,^ t E n 7 $,default,tooth
DANISH-44-1,,DANISH,44,toN3,toN3,t o ŋ ə,,1743,,false,^ t o N 3 $,default,tongue
